№,Название,Ссылка
Основная литература:,,
1,"Eisenbud D., Harris J. - The Geometry of Schemes (1999)",
2,"Mumford D. - The Red Book of Varieties and Schemes (LNM 1358, Springer, 2004)",
3,"Арнольд В.И. - Вещественная алгебраическая геометрия (МЦНМО, 2009)",
4,Городенцев А.Л. - Геометрическое введение в алгебраическую геометрию (2012),
5,"Гриффитс Ф., Харрис Д. - Принципы алгебраической геометрии (Мир, 1982)",
6,Данилов В.И. - Алгебраические многообразия и схемы (1988),
7,Данилов В.И. - Когомологии алгебраических многообразий (1989),
8,"Клеменс Г. - Мозаика теории комплексных кривых (Мир, 1984)",
9,"Комплексные алгебраические кривые (ВШЭ, 2011)",
10,"Мамфорд Д. - Красная книга о многообразиях и схемах (МЦНМО, 2007)",
11,"Мамфорд Д. - Лекции о кривых на алгебраической поверхности (Мир, 1968)",
12,"Манин Ю. - Лекции по алгебраической геометрии. Том 1. Аффинные схемы (МГУ, 1970)",
13,"Рид М. - Алгебраическая геометрия для всех (Мир, 1991)",
14,"Фултон У. - Теория пересечений (Мир, 1989)",
15,"Харрис Д. - Алгебраическая геометрия. Начальный курс (МЦНМО, 2005)",
16,"Хартсхорн Р. - Алгебраическая геометрия (Мир, 1981)",
17,"Шафаревич И.Р. - Основы алгебраической геометрии. Том 1 (Наука, 1988)",
18,"Шафаревич И.Р. - Основы алгебраической геометрии. Том 2 (Наука, 1988)",
19,Шокуров В.В. - Римановы поверхности и алгебраические кривые (1988),
