№,Название,Ссылка
Основная литература:,,
"1. Комплексные числа, инверсия, линейные и круговые преобразования",,
1,"(задачник) Понарин Я.П. - Алгебра комплексных чисел в геометрических задачах (МЦНМО, 2004)",
2,"Епихин В.Е. - Комплексные числа (МЦНМО, 2009)",
3,"И.Д. Жижилкин - Инверсия (МЦНМО, 2009)",
4,Яглом И.М. - Геометрические преобразования. Том 1. Движения и преобразования подобия (1955),
5,Яглом И.М. - Геометрические преобразования. Том 2. Линейные и круговые преобразования (1956),
6,"Яглом И.М. - Комплексные числа и их применение в геометрии (Физматгиз, 1963)",
2. Стереографическая проекция,,
1,"Розенфельд Б.А, Сергеева Н.Д. - Стереографическая проекция (Наука, 1973)",
"3. Аффинная и проективная геометрия, аффинные и проективные преобразования",,
1,"Буземан К., Келли П. - Проективная геометрия и проективные метрики (1957)",
2,"Бурман Ю.М. - О проективных пространствах и движениях, или геометрия без рисунков (2001)",
3,"Щербанов Р.Н., Пичурин Л.Ф. - От проективной геометрии к неевклидовой (Просвещение, 1979)",
4,Бэр Р. - Линейная алгебра и проективная геометрия (1955),
5,Вольберг О.А. - Основные идеи проективной геометрии (1949),
6,"Глаголев Н.А. - Проективная геометрия (Высшая школа, 1963)",
7,"Хартсхорн Р., Основы проективной геометрии (Мир, 1970)",
8,"Четверухин Н.Ф. - Проективная геометрия (Просвещение, 1969)",
9,Юнг Д. - Проективная геометрия (1949),
"4. Гиперболическая геометрия, пучки прямых и ортогональные траектории",,
1,"Гумин М. - Геометрия Лобачевского (ЛМШ при МЦНМО, 2011)",
2,Клепцын В.А. - Классическая гиперболическая геометрия (2005),
3,"Математическое просвещение. Серия 3. Выпуск 13 (МЦНМО, 2009)",
4,"Прасолов В.В. - Геометрия Лобачевского (МЦНМО, 2004)",
5,"Сорокин Г.М. - Геометрия Лобачевского (ЧГУ, 2012)",
"5. Дискретные, фуксовы группы",,
1,Beardon A. - An introduction to hyperbolic geometry,
2,"Бердон А. - Геометрия дискретных групп (Наука, 1986)",
3,"Каток С. - Фуксовы группы (Факториал Пресс, 2002)",
"6. Кватернионы, октавы",,
1,"Арнольд В.И. - Геометрия комплексных чисел, кватернионов и спинов (МЦНМО, 2002)",
2,"Конвей Д., Смит Д. - О кватернионах и октавах, об их геометрии, арифметике и симметриях (МЦНМО, 2009)",
7. Группы отражений и правильные многогранники,,
1,Coxeter H. - Regular polytopes,
2,"Математическое просвещение. Серия 3. Выпуск 7 (МЦНМО, 2003)",
3,"Смирнов Ю.В. - Группы отражений и правильные многогранники (МЦНМО, 2009)",
Дополнительная литература:,,
1,"Прасолов В.В., Тихомиров В.М. - Геометрия (МЦНМО, 2007)",
2,"(задачник) Берже М. - Задачи по геометрии с комментариями и решениями (Мир, 1989)",
3,"Балк М.Б., Болтянский В.Г. - Геометрия масс (Наука, 1987)",
4,"Берже М. - Геометрия. Том 1 (Мир, 1984)",
5,"Берже М. - Геометрия. Том 2 (Мир, 1984)",
6,"Буземан Г., Келли П. - Проективная геометрия и проективные метрики (1957)",
7,Гильберт Д. - Основания геометрии (1948),
8,"Гильберт Д., Кон-Фоссен С.Э. - Наглядная геометрия (1936)",
9,"Дубровин Б.А., Новиков С.П., Фоменко А.Т. - Современная геометрия. Методы и приложения. Том 1. Геометрия поверхностей, групп преобразований и полей (УРСС, 1998)",
10,"Дубровин Б.А., Новиков С.П., Фоменко А.Т. - Современная геометрия. Методы и приложения. Том 2. Геометрия и топология многообразий (УРСС, 1998)",
11,"Дубровин Б.А., Новиков С.П., Фоменко А.Т. - Современная геометрия. Методы и приложения. Том 3. Теория гомологий (УРСС, 2001)",
12,Каган В.Ф. - Основания геометрии (1949),
13,"Кириллов А.А. Повесть о двух фракталах (МЦНМО, 2010)",
14,Клейн Ф. - Неевклидова геометрия (1936),
15,"Клейн Ф. - Элементарная математика с точки зрения высшей. Том 2. Геометрия (Наука, 1987)",
16,"Кокстер Г.С.М. - Введение в геометрию (Наука, 1966)",
17,"Фетисов А.И. - Очерки по евклидовой и неевклидовой геометрии (Просвещение, 1965)",
18,"Хачатурян А.В. - Геометрия Галилея (МЦНМО, 2005)",
