№,Название,Ссылка
Основная литература:,,

1,"Алексеев В.Б. - Теорема Абеля в задачах и решениях (МЦНМО, 2001)", http://ilib.mccme.ru/pdf/alekseev.pdf
2,"Алфутова Н.Б, Устинов А.В. - Алгебра и теория чисел для математических школ (МЦНМО, 2003)", http://www.mccme.ru/free-books/pdf/alfutova.pdf
3,"Арнольд В.И. - Задачи для детей от 5 до 15 лет (МЦНМО, 2007)",
4,"Гельфанд И.М., Шень А. - Алгебра (МЦНМО, 2009)",
5,"Давидович Б.М. - Математический анализ в 57 школе (МЦНМО, 2008)", http://www.mccme.ru/free-books/57/davidovich.pdf
6,"Курант Р., Роббинс Г. - Что такое математика (МЦНМО, 2000)",
7,"Сергеев П.В. - Математика в спецклассах 57-й школы (МЦНМО, 2008)", http://www.mccme.ru/free-books/57/sergeev.pdf
8, "Элементы математики в задачах: через олимпиады и кружки  к профессии - под редакцией А.А. Заславского, А.Б. Скопенкова и М.Б. Скопенкова", http://www.mccme.ru/circles/oim/materials/sturm.pdf

Геометрические преобразования,,
1,"Заславский А.А. - Геометрические преобразования (МЦНМО, 2004)", http://math.ru/lib/files/pdf/geometry/Zaslavsky.pdf
