№,Название,Ссылка
Основная литература:,,
1,"Виро О.Я., Иванов О.А., Нецветаев Н.Ю., Харламов В.М. - Элементарная топология (СПГУ, 2007)",
2,"(задачник) Прасолов В.В. - Задачи по топологии (МЦНМО, 2008)",
3,"Болтянский В.Г., Ефремович В.А. - Наглядная топология (Наука, 1982)",
4,"Васильев В.А. - Введение в топологию (ФАЗИС, 1997)",
5,Вербицкий М. - Лекции и задачи по топологии (2012),
6,"Милнор Д., Уоллес А. - Дифферецниальная топология. Начальный курс (Мир, 1972)",
7,"Прасолов В.В. - Наглядная топология (МЦНМО, 1995)",
8,"Прасолов В.В. - Элементы комбинаторной и дифференциальной топологии (МЦНМО, 2004)",
9,"Смирнов С.Г. - Прогулки по замкнутым поверхностям (МЦНМО, 2003)",
10,"Тёрстон У. - Трехмерная топология и геометрия (МЦНМО, 2001)",
Дополнительная литература:,,
1,"Аносов Д.В. - Отображение окружности, векторные поля и их применение (МЦНМО, 2003)",
2,"Скопенков А. - Алгоритмы распознавания реализуемости гиперграфов (МЦНМО, 2015)",
3,"Скопенков А. - Дискретные структуры и алгоритмы в топологии (Спецкурс МФТИ, 2015)",
4,"Скопенков А. - Современные топологические методы в физике (Спецкурс МФТИ, 2015)",
5,"Фоменко А.Т. - Наглядная геометрия и топология (МГУ, 1998)",
