№,Название,Ссылка
Основная литература:,,
1,"Винберг В.Б. - Курс алгебры (МЦНМО, 2011)",
2,"Artin M. - Algebra (Pearson, 2010)",
3,"Dummit D., Foote R. - Abstract algebra (2004)",
4,"Fulton W., Harris J. - Representation theory. A first course (New York, 1991)",
5,"Кострикин А.И - Введение в алгебру. Часть 1. Основы алгебры (ФизМатЛит, 2004)",
6,"Кострикин А.И - Введение в алгебру. Часть 2. Линейная алгебра (ФизМатЛит, 2000)",
7,"Кострикин А.И - Введение в алгебру. Часть 3. Основные структуры (ФизМатЛит, 2004)",
8,"Кострикин А.И., Манин Ю.В. - Линейная алгебра и геометрия (Наука, 1986)",
9,"Лидл Р., Нидеррайтер Г. - Конечные поля. Том 1, 2 (Мир, 1988)",
10,Прасолов В.В. - Задачи и теоремы линейной алгебры (2008),
11,"Шафаревич И.Р., Ремизов А.О. - Линейная алгебра и геометрия (ФизМатЛит, 2009)",
Дополнительная литература:,,
1,"(задачник) Гайфуллин А.А., Пенской А.В., Смирнов С.В. - Задачи по линейной алгебре (МГУ, 2012)",
2,"(задачник) Группы, кольца, поля (НГУ им. Лобачевского, 2011)",
3,"(задачник) Кострикин А. - Сборник задач по алгебре (ФизМатЛит, 2001)",
4,"(задачник) Проскуряков И.В. - Сборник адач по линейной алгебре (МГУ, 2005)",
5,"(задачник) Смирнов Ю.М. - Сборник задач по аналитической геометрии и линейной алгебре (МГУ, 2005)",
6,"Алексеев В.Б. - Теорема Абеля в задачах и решениях (МЦНМО, 2001)",
7,"Арнольд В.И. - Динамика, статистика и проективная геометрия полей Галуа (МЦНМО, 2005)",
8,"Ван дер Варден Б.Л. - Алгебра (Наука, 1979)",
9,"Винберг Э.Б. - Курс лекций по высшей алгебре (МГУ, 2006-2007)",
10,"Винберг Э.Б. - Начала алгебры (НМУ, 1998)",
11,"Гельфанд И.М. - Лекции по линейной алгебре (МЦНМО, 1998)",
12,"Городенцев А.Л. - Алгебра-1 (ВШЭ, 2008)",
13,"Городенцев А.Л. - Алгебра-1 (ВШЭ, 2011)",
14,"Гумин М. - Группы (ЛМШ при МЦНМО, 2010)",
15,"Ленг С. - Алгебра (Мир, 1968)",
16,"Михалёв А.А., Михалёв А.В. - Начала алгебры, часть I (2009)",
17,Шафаревич И.Р. - Основные понятия алгебры (1999),
Алгебра многочленов,,
1,"Кольца многочленов (Институт математики им. С.Л. Соболева, лекция)",
2,"Прасолов В.В. - Многочлены (МЦНМО, 2003)",
