№,Название,Ссылка
Основная литература:,,
1,Rudin W. - Real and Complex Analysis (1987),
2,Картан А. - Элементарная теория функций комплексного переменного (1963),
3,"Комплексный анализ и теорема Римана (НМУ, весна 2010)",
4,"Лекции по комплексному анализу (И-т им. В.А. Стеклова РАН, 2004)",
5,"Львовский С.М. - Лекции по комплексному анализу (МЦНМО, 2009)",
6,"Маркушевич А.И. - Теория аналитических функций. Том 1 (Наука, 1968)",
7,"Маркушевич А.И. - Теория аналитических функций. Том 2 (Наука, 1968)",
8,"Нарасимхан Р. - Анализ на действительных и комплексных многообразиях (Мир, 1971)",
9,"Сидоров Ю.В., Федорюк М.В., Шабунин М.И. - Лекции по ТФКП (Наука, 1989)",
10,"Шабат Б.В. - Введение в комплексный анализ (Наука, 1969)",
11,"Шабат Б.В., Лаврентьев М.А - Методы теории функций комплексного переменного (Наука, 1973)",
Дополнительная литература:,,
1,"Горяйнов В.В. - Курс лекций по ТФКП (ВГУ, 1998)",
2,"Морозова В.Д - ТФКП (МГТУ Им. Н.Э. Баумана, 2009)",
