№,Название,Ссылка
Основная литература:,,
1,Rudin W - Principles of mathematical analysis (1976),
2,"Гелбаум Б., Олмстед Д. - Контрпримеры в анализе (Мир, 1967)",
3,"Зорич В.А. - Математический анализ. Том 1 (МЦНМО, 2012)",
4,"Зорич В.А. - Математический анализ. Том 2 (МЦНМО, 2012)",
5,"Картан А. - Дифференциальное исчисление. Дифференциальные формы (Мир, 1971)",
6,"Кудрявцев Л.Д. - Курс математического анализа. Том 1 (Дрофа, 2003)",
7,"Кудрявцев Л.Д. - Курс математического анализа. Том 2 (Дрофа, 2004)",
8,"Кудрявцев Л.Д. - Курс математического анализа. Том 3 (Дрофа, 2006)",
9,"Львовский С.М. - Лекции по математическому анализу (МЦНМО, 2008)",
10,"Рудин У. - Основы математического анализа (Мир, 1976)",
11,"Успенский В.А. - Что такое нестандартный анализ (Наука, 1987)",
12,"Шварц Л. - Анализ. Том 1 (Мир, 1972)",
13,"Шварц Л. - Анализ. Том 2 (Мир, 1972)",
Дополнительная литература:,,
1,"(задачник) Демидович Б.П. - Сборник задач и упражнений по математическому анализу (МГУ, 1997)",
2,"(задачник) Полиа Г., Сеге Г. - Задачи и теоремы из анализа. Том 1 (Наука, 1978)",
3,"(задачник) Полиа Г., Сеге Г. - Задачи и теоремы из анализа. Том 2 (Наука, 1978)",
4,"Дьедонне Ж. - Основы современного анализа (Мир, 1964)",
5,"Никольский С.М. - Курс математического анализа (ФизМатЛит, 2001)",
6,"Никольский С.М. - Курс математического анализа. Том 1 (Наука, 1983)",
7,"Никольский С.М. - Курс математического анализа. Том 2 (Наука, 1983)",
8,"Титчмарш Е. - Теория функций (Наука, 1980)",
9,"Уиттекер Э., Ватсон Д. - Курс современного анализа. Том 1 (1963)",
10,"Уиттекер Э., Ватсон Д. - Курс современного анализа. Том 2 (1963)",
11,"Фихтенгольц Г.М. - Курс дифференциального и интегрального исчисления. Том 1 (ФизМатЛит, 2003)",
12,"Фихтенгольц Г.М. - Курс дифференциального и интегрального исчисления. Том 2 (ФизМатЛит, 2003)",
13,"Фихтенгольц Г.М. - Курс дифференциального и интегрального исчисления. Том 3 (ФизМатЛит, 2003)",
14,Хинчин А.Я. - Восемь лекций по математическому анализу (1948),
15,"Шень А. - Математическая индукция (МЦНМО, 2007)",
16,Шилов Г.Е. - Математический анализ (1961),
